country,pop_urban_25plus,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub
Djibouti,134366.4,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,7979.3,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,7983952.9,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,431147.6,0.1,0.1,0.2,0.0,0.0,0.0
Costa Rica,875980.1,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,10407925.9,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,89031.9,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,123104.9,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,67589.4,0.0,0.0,0.0,0.0,0.0,0.0
Swaziland,53605.2,0.0,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,441531.5,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,886650.7,0.0,0.0,0.0,0.0,0.0,0.0
Peru,7141285.3,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,10235612.9,0.2,0.1,0.3,0.0,0.0,0.0
Nicaragua,776370.4,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,1695938.9,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,2109163.9,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,58851.9,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,1614907.0,0.4,0.2,0.7,0.0,0.0,0.0
Mali,616525.2,0.3,0.2,0.5,0.0,0.0,0.1
Senegal,815110.5,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,442451.7,0.1,0.1,0.2,0.0,0.0,0.0
Madagascar,741583.5,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,1762994.5,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Is.,18823.9,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,684578.4,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,466504.3,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,1107203.6,0.0,0.0,0.0,0.0,0.0,0.0
St. Lucia,15696.6,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,1342555.4,0.0,0.0,0.0,0.0,0.0,0.0
Panama,769299.1,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,708094.5,0.2,0.1,0.3,0.0,0.0,0.0
Greenland,0.0,0.0,0.0,0.0,,,
