country,population_urban_19,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub
Malawi,4662841,10.4,5.5,16.0,0.2,0.1,0.3
Mali,8328488,12.8,6.6,20.2,0.2,0.1,0.2
Peru,24901638,52.5,26.8,85.0,0.2,0.1,0.3
Ethiopia,20798610,15.9,8.3,25.4,0.1,0.0,0.1
Jamaica,1640088,1.0,0.5,1.5,0.1,0.0,0.1
Mozambique,12553963,13.8,7.2,21.5,0.1,0.1,0.2
Mauritania,1956266,1.1,0.6,1.7,0.1,0.0,0.1
Uganda,7580008,10.6,5.6,16.6,0.1,0.1,0.2
Venezuela,31371546,24.1,12.4,38.8,0.1,0.0,0.1
Philippines,58858129,42.2,21.9,66.2,0.1,0.0,0.1
Burkina Faso,6879308,6.7,3.5,10.7,0.1,0.1,0.2
Uruguay,3196823,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Is.,2973,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,532532,0.0,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,2613974,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23210496,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,178618,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,3625525,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,89829,0.0,0.0,0.0,0.0,0.0,0.0
French Guiana,222397,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,40647536,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,4373223,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,265343,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,3642389,0.0,0.0,0.0,0.0,0.0,0.0
Timor Leste,417794,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,13467464,2.3,1.2,3.6,0.0,0.0,0.0
Solomon Is.,145312,0.0,0.0,0.0,0.0,0.0,0.0
Niger,4272408,0.3,0.2,0.6,0.0,0.0,0.0
Senegal,7348365,0.4,0.2,0.7,0.0,0.0,0.0
Tanzania,17900297,8.1,4.3,12.6,0.0,0.0,0.1
Ecuador,11393842,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,331253,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,817587,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,414326,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,9388204,0.0,0.0,0.0,0.0,0.0,0.0
St. Lucia,66426,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,3931018,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,4234578,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,4720953,0.0,0.0,0.0,0.0,0.0,0.0
Panama,3111956,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,0,0.0,0.0,0.0,,,
